id,official_name,alias_name,total_leaf_node
06109,สำนักงานสภานโยบายการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรมแห่งชาติ,['สอวช.'],18
06110,องค์การพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ,['อพ.'],10
07001,กรมการขนส่งทางบก,,99
07002,กรมการขนส่งทางราง,,8
07003,กรมการบินพลเรือน,,1
07004,กรมทางหลวง,,158
07005,กรมทางหลวงชนบท,,113
07006,กรมท่าอากาศยาน,,44
07007,กรมเจ้าท่า,,75
07008,การทางพิเศษแห่งประเทศไทย,,16
07009,การท่าเรือแห่งประเทศไทย,,24
07010,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย,,22
07011,การรถไฟแห่งประเทศไทย,,10
07012,บริษัท การบินไทย จำกัด (มหาชน),,15
07013,บริษัท ขนส่ง จำกัด,,34
07014,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),,11
07015,บริษัท รถไฟฟ้า ร.ฟ.ท. จำกัด,['รฟฟท.'],13
07016,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,,96
07017,บริษัท โรงแรมท่าอากาศยานสุวรรณภูมิ จำกัด,,0
07018,บริษัท ไทย-อะมาดิอุส เซาท์อีสต์ เอเชีย จำกัด,,0
07019,บริษัท ไทยสมายล์แอร์เวย์ จำกัด,,0
07020,สถาบันการบินพลเรือน,,1
07021,สำนักงานการบินพลเรือนแห่งประเทศไทย,,21
07022,สำนักงานนโยบายและแผนการขนส่งและจราจร,,13
07023,สำนักงานปลัดกระทรวงคมนาคม,,18
07024,สำนักงานรัฐมนตรี,,5
07025,องค์การขนส่งมวลชนกรุงเทพ,,26
08001,กรมอุตุนิยมวิทยา,,23
08002,กองบังคับการปราบปรามการกระทำความผิดเกี่ยวกับอาชญากรรมทางเทคโนโลยี,,6
08003,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),,61
08004,บริษัท ทีโอที จำกัด (มหาชน),,13
08005,บริษัท โครงข่ายบรอดแบนด์แห่งชาติ จำกัด,,9
08006,บริษัท ไปรษณีย์ไทย จำกัด,,57
08007,สำนักงานคณะกรรมการคุ้มครองข้อมูลส่วนบุคคล,,1
08008,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,13
08009,สำนักงานปลัดกระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,3
08010,สำนักงานปลัดกระทรวงดิจิทัลเพื่อเศรษฐิจและสังคม,,14
08011,สำนักงานพัฒนาธุรกรรมทางอิเล็กทรอนิกส์,,14
08012,สำนักงานรัฐบาลอิเล็กทรอนิกส์ (องค์การมหาชน),,1
08013,สำนักงานสถิติแห่งชาติ,,90
08014,สำนักงานส่งเสริมเศรษฐกิจดิจิทัล,,20
09001,กรมควบคุมมลพิษ,,10
09002,กรมทรัพยากรทางทะเลและชายฝั่ง,,33
09003,กรมทรัพยากรธรณี,,19
09004,กรมทรัพยากรน้ำ,,28
09005,กรมทรัพยากรน้ำบาดาล,,30
09006,กรมป่าไม้,,218
09007,กรมส่งเสริมคุณภาพสิ่งแวดล้อม,,14
09008,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช,,445
09009,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธ์พืช,,2
09010,สำนักงานนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม,,16
09011,สำนักงานปลัดกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,109
09012,สำนักงานพัฒนาเศรษฐกิจจากฐานชีวภาพ,,1
09013,สำนักงานพัฒนาเศรษฐกิจจากฐานชีวภาพ (องค์การมหาชน),,1
09014,องค์การจัดการน้ำเสีย,,24
09015,องค์การบริหารจัดการก๊าซเรือนกระจก,,2
09016,องค์การบริหารจัดการก๊าซเรือนกระจก (องค์การมหาชน),,1
09017,องค์การสวนพฤกษศาสตร์,,6
09018,องค์การสวนสัตว์,,23
09019,องค์การสวนสัตว์ ในพระบรมราชูปถัมภ์,,0
09020,องค์การอุตสาหกรรมป่าไม้,,14
10001,กรมธุรกิจพลังงาน,,12
10002,กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน,,12
10003,กรมเชื้อเพลิงธรรมชาติ,,11
10004,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,2
10005,คณะกรรมการกำกับกิจการพลังงาน,,0
10006,บริษัท ปตท. จำกัด (มหาชน),,1
10007,สถาบันบริหารกองทุนพลังงาน,,0
10008,สถาบันบริหารกองทุนพลังงาน (องค์การมหาชน),,1
10009,สำนักงานกองทุนน้ำมันเชื้อเพลิง,,1
10010,สำนักงานคณะกรรมการกำกับกิจการพลังงาน,,1
10011,สำนักงานนโยบายและแผนพลังงาน,,7
10012,สำนักงานปลัดกระทรวงพลังงาน,,88
11001,กรมการค้าต่างประเทศ,,18
11002,กรมการค้าภายใน,,19
11003,กรมทรัพย์สินทางปัญญา,,11
11004,กรมพัฒนาธุรกิจการค้า,,20
11005,กรมส่งเสริมการค้าระหว่างประเทศ,,14
11006,กรมเจรจาการค้าระหว่างประเทศ,,11
11007,ศูนย์ส่งเสริมศิลปาชีพระหว่างประเทศ (องค์การมหาชน),,5
11008,สถาบันระหว่างประเทศเพื่อการค้าและการพัฒนา (องค์การมหาชน),,1
11009,สถาบันวิจัยและพัฒนาอัญมณีและเครื่องประดับแห่งชาติ (องค์การมหาชน),,11
11010,สำนักงานนโยบายและยุทธศาสตร์การค้า,,9
11011,สำนักงานปลัดกระทรวงพาณิชย์,,94
